arc_challenge,english
arc_challenge_mt_bg,multilingual
arc_challenge_mt_cs,multilingual
arc_challenge_mt_da,multilingual
arc_challenge_mt_de,multilingual
arc_challenge_mt_el,multilingual
arc_challenge_mt_es,multilingual
arc_challenge_mt_et,multilingual
arc_challenge_mt_fi,multilingual
arc_challenge_mt_fr,multilingual
arc_challenge_mt_hu,multilingual
arc_challenge_mt_is,multilingual
arc_challenge_mt_it,multilingual
arc_challenge_mt_lt,multilingual
arc_challenge_mt_lv,multilingual
arc_challenge_mt_nb,multilingual
arc_challenge_mt_nl,multilingual
arc_challenge_mt_pl,multilingual
arc_challenge_mt_pt,multilingual
arc_challenge_mt_ro,multilingual
arc_challenge_mt_sk,multilingual
arc_challenge_mt_sl,multilingual
arc_challenge_mt_sv,multilingual
arc_easy,english
belebele_bul_Cyrl,multilingual
belebele_ces_Latn,multilingual
belebele_dan_Latn,multilingual
belebele_deu_Latn,multilingual
belebele_ell_Grek,multilingual
belebele_eng_Latn,english
belebele_est_Latn,multilingual
belebele_fin_Latn,multilingual
belebele_fra_Latn,multilingual
belebele_hrv_Latn,multilingual
belebele_hun_Latn,multilingual
belebele_ita_Latn,multilingual
belebele_lit_Latn,multilingual
belebele_lvs_Latn,multilingual
belebele_mlt_Latn,multilingual
belebele_nld_Latn,multilingual
belebele_nob_Latn,multilingual
belebele_pol_Latn,multilingual
belebele_por_Latn,multilingual
belebele_ron_Latn,multilingual
belebele_slk_Latn,multilingual
belebele_slv_Latn,multilingual
belebele_spa_Latn,multilingual
belebele_swe_Latn,multilingual
bigbench_cs_algorithms_generate_until,english
bigbench_dyck_languages_generate_until,english
bigbench_language_identification_multiple_choice,english
bigbench_operators_generate_until,english
bigbench_qa_wikidata_generate_until,english
bigbench_repeat_copy_logic_generate_until,english
boolq,english
commonsense_qa,english
copa,english
coqa,english
global_mgsm_ca,reasoning
global_mgsm_csa,reasoning
global_mgsm_dea,reasoning
global_mgsm_ela,reasoning
global_mgsm_ena,reasoning
global_mgsm_esa,reasoning
global_mgsm_eu,reasoning
global_mgsm_fr,reasoning
global_mgsm_gl,reasoning
global_mgsm_hu,reasoning
global_mgsm_sr,reasoning
global_mmlu_full_cs,multilingual
global_mmlu_full_de,multilingual
global_mmlu_full_el,multilingual
global_mmlu_full_en,english
global_mmlu_full_es,multilingual
global_mmlu_full_fr,multilingual
global_mmlu_full_it,multilingual
global_mmlu_full_lt,multilingual
global_mmlu_full_nl,multilingual
global_mmlu_full_pl,multilingual
global_mmlu_full_pt,multilingual
global_mmlu_full_ro,multilingual
global_mmlu_full_sr,multilingual
global_mmlu_full_sv,multilingual
global_mmlu_full_tr,multilingual
global_mmlu_full_uk,multilingual
global_piqa_completions_als_latn,multilingual
global_piqa_completions_bos_latn,multilingual
global_piqa_completions_bul_cyrl,multilingual
global_piqa_completions_cat_latn,multilingual
global_piqa_completions_ces_latn,multilingual
global_piqa_completions_deu_latn,multilingual
global_piqa_completions_ekk_latn,multilingual
global_piqa_completions_ell_grek,multilingual
global_piqa_completions_eng_latn,english
global_piqa_completions_fin_latn,multilingual
global_piqa_completions_fra_latn_fran,multilingual
global_piqa_completions_glg_latn,multilingual
global_piqa_completions_hrv_latn,multilingual
global_piqa_completions_hun_latn,multilingual
global_piqa_completions_isl_latn,multilingual
global_piqa_completions_ita_latn,multilingual
global_piqa_completions_kat_geor,multilingual
global_piqa_completions_lit_latn,multilingual
global_piqa_completions_mkd_cyrl,multilingual
global_piqa_completions_nld_latn,multilingual
global_piqa_completions_nno_latn,multilingual
global_piqa_completions_nob_latn,multilingual
global_piqa_completions_pol_latn,multilingual
global_piqa_completions_por_latn_port,multilingual
global_piqa_completions_ron_latn,multilingual
global_piqa_completions_slk_latn,multilingual
global_piqa_completions_slv_latn,multilingual
global_piqa_completions_spa_latn_spai,multilingual
global_piqa_completions_srp_cyrl,multilingual
global_piqa_completions_swe_latn,multilingual
global_piqa_completions_tur_latn,multilingual
global_piqa_completions_ukr_cyrl,multilingual
global_piqa_prompted_als_latn,multilingual
global_piqa_prompted_bos_latn,multilingual
global_piqa_prompted_bul_cyrl,multilingual
global_piqa_prompted_cat_latn,multilingual
global_piqa_prompted_ces_latn,multilingual
global_piqa_prompted_deu_latn,multilingual
global_piqa_prompted_ekk_latn,multilingual
global_piqa_prompted_ell_grek,multilingual
global_piqa_prompted_eng_latn,english
global_piqa_prompted_fin_latn,multilingual
global_piqa_prompted_fra_latn_fran,multilingual
global_piqa_prompted_glg_latn,multilingual
global_piqa_prompted_hrv_latn,multilingual
global_piqa_prompted_hun_latn,multilingual
global_piqa_prompted_isl_latn,multilingual
