run,step,score
baby_9b_dense_anneal50b_dominant1,955200,-0.0084934810617887
baby_9b_dense_anneal50b_dominant1,957600,0.6936136114464975
baby_9b_dense_anneal50b_dominant1,959272,0.8443450543048853
baby_9b_dense_anneal50b_dominant2,955200,-0.2750962741808865
baby_9b_dense_anneal50b_dominant2,957600,0.5503052809191079
baby_9b_dense_anneal50b_dominant2,959272,0.6245161995127716
baby_9b_dense_anneal50b_dominant3,955200,0.11162225004797872
baby_9b_dense_anneal50b_dominant3,957600,0.5631212954306769
baby_9b_dense_anneal50b_dominant3,959272,0.6105742806718981
baby_9b_dense_anneal50b_multilingual1,955200,-0.5790991448440999
baby_9b_dense_anneal50b_multilingual1,957600,-0.17005663427119003
baby_9b_dense_anneal50b_multilingual1,959272,-0.06107868072904714
baby_9b_dense_anneal50b_multilingual2,955200,-0.38720549134269944
baby_9b_dense_anneal50b_multilingual2,957600,0.029462905232346397
baby_9b_dense_anneal50b_multilingual2,959272,0.16692985210356204
baby_9b_dense_anneal50b_multilingual3,955200,-0.5568286983231686
baby_9b_dense_anneal50b_multilingual3,957600,0.07481006756476315
baby_9b_dense_anneal50b_multilingual3,959272,0.38698766046478805
baby_9b_dense_anneal50b_no-change,955200,-0.8280606560720736
baby_9b_dense_anneal50b_no-change,957600,-0.23517726304967246
baby_9b_dense_anneal50b_no-change,959272,0.05292058552333476
baby_9b_dense_before-annealing,953312,-1.6081127193480074
