model_name,task,n_shot,performance,metric_name,source_file
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,arc_challenge,10,0.590443686006826,"acc_norm,none",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,arc_challenge,10,0.590443686006826,"acc_norm,none",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,arc_easy,10,0.8472222222222222,"acc_norm,none",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,arc_easy,10,0.8472222222222222,"acc_norm,none",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,bigbench_cs_algorithms_generate_until,10,0.5212121212121212,"exact_match,strict-match",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,bigbench_cs_algorithms_generate_until,10,0.5212121212121212,"exact_match,strict-match",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,bigbench_dyck_languages_generate_until,10,0.476,"exact_match,strict-match",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,bigbench_dyck_languages_generate_until,10,0.476,"exact_match,strict-match",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,bigbench_language_identification_multiple_choice,10,0.1919,"acc,none",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,bigbench_language_identification_multiple_choice,10,0.1919,"acc,none",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,bigbench_operators_generate_until,10,0.5666666666666667,"exact_match,strict-match",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,bigbench_operators_generate_until,10,0.5666666666666667,"exact_match,strict-match",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,bigbench_qa_wikidata_generate_until,10,0.6958811082131785,"exact_match,strict-match",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,bigbench_qa_wikidata_generate_until,10,0.6958811082131785,"exact_match,strict-match",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,bigbench_repeat_copy_logic_generate_until,10,0.375,"exact_match,strict-match",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,bigbench_repeat_copy_logic_generate_until,10,0.375,"exact_match,strict-match",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,boolq,10,0.825382262996942,"acc,none",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,boolq,10,0.825382262996942,"acc,none",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,commonsense_qa,10,0.7067977067977068,"acc,none",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,commonsense_qa,10,0.7067977067977068,"acc,none",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,copa,0,0.86,"acc,none",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,copa,0,0.86,"acc,none",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,coqa,0,0.8056601254816648,"f1,none",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,coqa,0,0.8056601254816648,"f1,none",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,hellaswag,0,0.7656841266679945,"acc_norm,none",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,hellaswag,0,0.7656841266679945,"acc_norm,none",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,hellaswag,10,0.7965544712208723,"acc_norm,none",evals_multi_dclm.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,hellaswag,10,0.7965544712208723,"acc_norm,none",/scratch/project_465002891/prelude-mid/evals/stoepen/2026-09-15-09-44-52/results.csv
/scratch/project_465002891/prelude-mid/hf_models/baby_9b_dense_before-annealing/checkpoints/iter_0953312,jeopardy,10,0.4865375531412376,"exact_match,strict-match",evals_multi_dclm.csv
