run,step,score
baby_9b_dense_anneal100b_dominant1,955200,-0.3992876097449996
baby_9b_dense_anneal100b_dominant1,957600,0.08345689805391268
baby_9b_dense_anneal100b_dominant1,960000,0.3229841983548069
baby_9b_dense_anneal100b_dominant1,962400,0.561248345578597
baby_9b_dense_anneal100b_dominant1,964800,0.5998618572930956
baby_9b_dense_anneal100b_dominant1,965232,0.6222934734330804
baby_9b_dense_anneal100b_dominant2,955200,-0.5933608940511236
baby_9b_dense_anneal100b_dominant2,957600,0.21547188183321675
baby_9b_dense_anneal100b_dominant2,960000,0.3253216582613753
baby_9b_dense_anneal100b_dominant2,962400,0.676370703380033
baby_9b_dense_anneal100b_dominant2,964800,0.7335005750723033
baby_9b_dense_anneal100b_dominant2,965232,0.7423086907527204
baby_9b_dense_anneal100b_dominant3,955200,-0.06650522392896696
baby_9b_dense_anneal100b_dominant3,957600,0.20018772402442836
baby_9b_dense_anneal100b_dominant3,960000,0.966298498602297
baby_9b_dense_anneal100b_dominant3,962400,0.9002897390765822
baby_9b_dense_anneal100b_dominant3,964800,0.9508879899361337
baby_9b_dense_anneal100b_dominant3,965232,0.9975725274600572
baby_9b_dense_anneal100b_multilingual1,955200,-1.0750973496701806
baby_9b_dense_anneal100b_multilingual1,957600,-0.5649269941623708
baby_9b_dense_anneal100b_multilingual1,960000,-0.2539345162254093
baby_9b_dense_anneal100b_multilingual1,962400,0.08705720411114597
baby_9b_dense_anneal100b_multilingual1,964800,0.17920465399734659
baby_9b_dense_anneal100b_multilingual1,965232,0.20562324279187263
baby_9b_dense_anneal100b_multilingual2,955200,-0.9577744104570591
baby_9b_dense_anneal100b_multilingual2,957600,-0.37955300796759894
baby_9b_dense_anneal100b_multilingual2,960000,-0.232865669880263
baby_9b_dense_anneal100b_multilingual2,962400,0.06186503834721178
baby_9b_dense_anneal100b_multilingual2,964800,0.22456798673347383
baby_9b_dense_anneal100b_multilingual2,965232,0.21035363155119582
baby_9b_dense_anneal100b_multilingual3,955200,-0.713189802663085
baby_9b_dense_anneal100b_multilingual3,957600,-0.2702732656376927
baby_9b_dense_anneal100b_multilingual3,960000,-0.0968186956399589
baby_9b_dense_anneal100b_multilingual3,962400,0.15183297400756532
baby_9b_dense_anneal100b_multilingual3,964800,0.12863481447972502
baby_9b_dense_anneal100b_multilingual3,965232,0.11055997665332189
baby_9b_dense_anneal100b_no-change,955200,-1.1113021645252372
baby_9b_dense_anneal100b_no-change,957600,-0.6904570382609704
baby_9b_dense_anneal100b_no-change,960000,-0.6660862084977031
baby_9b_dense_anneal100b_no-change,962400,-0.3252290973278838
baby_9b_dense_anneal100b_no-change,964800,-0.18660327588289213
baby_9b_dense_anneal100b_no-change,965232,-0.2280018568491148
baby_9b_dense_before-annealing,953312,-1.4464872024130018
